"Date","Name","Issue","Stage","Convocation","Party","text"
2011-10-18,"Плигин Владимир Николаевич","О проекте порядка работы Государственной Думы на 18 октября 2011 года.",NA,"V Convocation","UR","ПЛИГИН В. Н., председатель Комитета Государственной Думы по конституционному законодательству и государственному строительству, фракция ""ЕДИНАЯ РОССИЯ"". Уважаемый Олег Викторович, уважаемые коллеги! Сложно предположить, что в нашем зале есть люди, которые безразлично относятся к судьбе великого государства, которое мы получили от предыдущих поколений, продолжателями, наследниками которых являемся, и которое мы обязаны сохранить и передать будущим поколениям. Основой успешности этого проекта может быть решение стратегической задачи, которая, по словам президента Медведева, заключается в том, чтобы сформировать действенную систему государственного управления. Президент обратил внимание на то, что мы должны создать современную демократическую политическую систему и насытить её правильными законами. Для формирования этой новой системы важно многое, в том числе важно и то, на что мы иногда не обращаем внимания. ""Мы умираем от единственной и основательной причины: неуважения себя"", - писал в своё время, в начале прошлого века, известный философ Розанов. ""Государство должно стать внутренней силой... народа, его собственной положительной мощью, его орудием, а не внешним над ним началом, не господином его"", - говорил другой великий философ, Бердяев. Президент обратил внимание на то, что систему нужно менять без драматизма, - я хотел бы это сказать в связи с теми речами, которые были произнесены сегодня с трибуны Государственной Думы, - спокойно, твёрдо занимаясь преобразованиями, и предложил подумать о большом, расширенном правительстве, которое может быть сформировано совместно с гражданским обществом, с экспертами, с региональной и муниципальной властью, со всеми избирателями. Обратная связь, готовность власти к прямому общению со своими людьми - это важнейшее, что должно сплотить общество, в противном случае возникнут проблемы: те государства, те общества, которые не сумеют построить эту обратную связь, по словам президента, окажутся на свалке истории. В своих действиях президент предложил опираться на широкие общественные силы, которые в дальнейшем будут представлены мощными, сильными политическими партиями, в том числе и такой сильной, мощно развивающейся политической партией, как ""ЕДИНАЯ РОССИЯ"". Главные задачи, которые мы должны решить, - мы должны сформировать уважающее человека государство, мы должны сформировать открытое государство, мы должны сформировать прозрачную экономику, мы должны предпринять максимальное количество усилий по ограничению коррупции, и, самое главное, мы должны сформулировать предсказуемые правила жизни. Очень важно сохранить страну через сотрудничество всех нас, уважительное сотрудничество, а сотрудничество предполагает ответственность - ответственность за себя, за свою семью, за свою малую и большую родину. Спасибо."
2011-10-19,"Рохмистров Максим Станиславович","О проекте федерального закона № 466896-5 ""О внесении изменений в статью 83 Федерального закона ""О выборах депутатов Государственной Думы Федерального Собрания Российской Федерации"" (по вопросу о распределении депутатских мандатов внутри федерального списка).","Рассмотрение законопроекта в первом чтении","V Convocation","LDPR","РОХМИСТРОВ М. С. Спасибо, Олег Викторович. Вы так хорошо знаете Регламент, что приходится у вас учиться. Хотелось бы обратить внимание на то, что законопроект-то в принципе направлен как раз против того, чтобы кто-то какие-то взносы непонятные в том или ином виде вносил, потому что ничего ещё не решено и съезд, которому дано право сформировать списки, может внести изменения уже по результатам проведения выборной кампании, если есть претензия к спискам. У нас в бюллетенях указывается две тройки: тройка в федеральной части списка (можно оговорить в законопроекте в рамках второго чтения, что первая тройка в федеральной части списка не подвергается изменению, что она в любом случае не меняется) и тройка региональная, региональной группы, в отношении которой тоже можно оговорить, установить в рамках второго чтения, в результате дискуссий, учёта других мнений, что мандат передаётся в рамках этой региональной тройки, то есть не выходит за её рамки - там четвёртое, пятое, шестое место. Вот Александр Петрович считает, что это должны быть только те люди, которые в бюллетене есть, - ну давайте пообсуждаем эту тему. Вопрос-то как раз и заключается в том, что политическим партиям, с одной стороны, разрешено формировать эти списки, а с другой стороны, сама политическая партия не может принять в этом участие и внести изменения по результатам выборов, то есть оценить работу тех людей, которых она выдвинула. Собственно говоря, это проблема не только оппозиционных партий - это проблема и правящей партии в том числе, потому что зачастую, к сожалению, человеческая натура такова, что вот хорошо человек себя проявил... Я считаю, что законопроект как раз и поможет вам разобраться с ситуацией в рамках ""Народного фронта"", в котором у вас будет большое количество людей, которых вы не очень хорошо знаете, потому что они не из вашей партии, они пришли со стороны, они хорошо себя проявили в течение месяца работы до съезда, и, заняв хорошую проходную позицию в вашем списке, сейчас самоустранятся от ведения выборной кампании, и прямо вам после 18 ноября скажут: вы знаете, зарплата у депутата хорошая, но я как занимался своим бизнесом или там общественной работой, так и буду заниматься, а вы уж там в Думе сами посидите. И мы опять столкнёмся с проблемой пустого зала, с проблемой дисциплины, и вы уже не сможете ничего сделать, потому что механизма передачи депутатского мандата другому не существует ни на одном из этапов после утверждения списков и наступления периода, когда политическое объединение не может корректировать эти списки. Поэтому мы и предлагаем такой вариант: чтобы политическая партия после получения определённого количества мандатов хотя бы в какой-то части могла сама распределить эти мандаты между наиболее, так скажем, эффективными кандидатами из списка этой политической партии, определив, конечно, предварительно их эффективность, потому что ответственность всё-таки в конечном итоге лежит на политической партии и кроме неё никто не заинтересован в том, чтобы её, собственно говоря, депутаты работали лучше, с полной отдачей, не оглядываясь ни на кого, и знали, что и во время выборной кампании, и после выборной кампании они должны работать с полной отдачей и защищать интересы своих избирателей. Спасибо."
2011-10-21,"Герасименко Николай Федорович","О проекте федерального закона № 534829-5 ""Об основах охраны здоровья граждан в Российской Федерации"".","Рассмотрение законопроекта во втором чтении","V Convocation","UR","ГЕРАСИМЕНКО Н. Ф. Нина Александровна, у нас 20 процентов бесплодны. Вы лишаете одиноких женщин права иметь ребёнка. Вы сами хоть понимаете, что делаете этой поправкой? Разве так можно? Нормальная женщина не имеет права на экстракорпоральное оплодотворение - это вообще уму непостижимо! Конечно, комитет против."
2011-10-21,"Голушко Андрей Иванович","О проекте федерального закона № 607158-5 ""О федеральном бюджете на 2012 год и на плановый период 2013 и 2014 годов"".","Рассмотрение законопроекта в первом чтении","V Convocation","UR","ГОЛУШКО А. И., фракция ""ЕДИНАЯ РОССИЯ"". Уважаемый Олег Викторович, уважаемые коллеги! В последние годы Правительством Российской Федерации сделано многое для совершенствования прогнозирования и внедрения в практику государственного управления среднесрочного и долгосрочного планирования: улучшены методики расчётных показателей, прогнозирование строится на разработке различных вариантов сценариев социально-экономического развития страны, поставлена задача перехода на долгосрочное прогнозирование, в рамках которого более обоснованными будут показатели среднесрочных прогнозов, разрабатывается концепция долгосрочного социально-экономического развития Российской Федерации до 2020 года. Разработка прогноза социально-экономического развития на 2012 год и параметров прогноза на период до 2014 года осуществлялась на вариантной основе в составе двух базовых и двух дополнительных сценариев. Вторым вариантом прогноза, умеренно оптимистическим, предлагаемым нам в качестве основы для разработки параметров федерального бюджета на 2012-2014 годы, предполагается относительное повышение конкурентоспособности российской экономики и улучшение инвестиционного климата при умеренном увеличении государственных расходов на инфраструктуру и человеческий капитал в 2013-2014 годах. Данный вариант базируется на относительно благоприятных оценках внешних условий. Предлагаемые дополнительные варианты - консервативный, негативный, оптимистичный - описывают практически весь возможный набор внутриэкономических и внешних сценариев, включая возможное снижение цены на нефть в 2012 году до 60 долларов за баррель. Проведя анализ прогноза социально-экономического развития Российской Федерации на 2012, 2013 и 2014 годы, комитет отмечает в своём заключении, что прогноз является сбалансированным, содержит качественный анализ целого ряда факторов, которые будут определять социально-экономическое развитие страны на ближайшие годы, и создаёт представление о том, как Правительство Российской Федерации видит развитие экономики в среднесрочной перспективе. С точки зрения насыщенности аналитическими материалами представленный прогноз соответствует поставленным задачам и выполнен на высоком профессиональном уровне. В то же время комитет отмечает, что в период 2012-2014 годов темпы роста российской экономики будут достаточно низкими по сравнению с предкризисным периодом. Согласно прогнозу, ВВП в 2012-2014 годах будет расти в среднем на 4,1 процента в год, тогда как в 2004-2008 годах среднегодовой темп роста составил 7,1 процента. Ключевыми факторами такой динамики являются стагнация добычи и экспорта основных видов энергоносителей, за исключением газа, и государственного спроса. Следует отметить, что темпы прироста ВВП в базовом варианте практически соответствуют темпам роста мировой экономики. Это значит, что российская экономика продолжает сохранять имеющееся отставание в уровне развития от наиболее развитых стран. Тем не менее основным фактором, который обеспечивает ускорение экономической динамики к концу прогнозного периода, является более быстрый рост инвестиций. Если этот рост в 2012-2014 годах не будет обеспечиваться частным сектором, тогда он должен стимулироваться государством. В связи с этим представляется правильным рассмотреть в прогнозе все те инвестиционные ресурсы, которые напрямую либо косвенно контролируются государством. В случаях ухудшения внешнеэкономической конъюнктуры может потребоваться замещение со стороны государства выпадающих частных инвестиций в целях поддержания инвестиционного спроса. К инвестиционным ресурсам, контролируемым государством, можно отнести бюджетные инвестиции, средства институтов развития, а также инвестиционные программы государственных компаний и государственных корпораций. Так как в сумме это более 30 процентов всех инвестиций в основной капитал, для оценки реалистичности представленных темпов роста инвестиций было бы желательно иметь интегрированные оценки влияния государства на инвестиционную активность. Комитет провёл оценку прогноза основных макроэкономических показателей на 2012-2014 годы. Подробно результаты изложены в заключении комитета на прогноз социально-экономического развития. Комитет считает возможным согласиться с представленным прогнозом и рекомендует Государственной Думе принять в первом чтении проект федерального закона ""О федеральном бюджете на 2012 год и на плановый период 2013 и 2014 годов"" с учётом высказанных замечаний и предложений. Спасибо."
2011-11-18,"Назаров Андрей Геннадьевич","О проекте порядка работы Государственной Думы на 18 ноября 2011 года.",NA,"V Convocation","UR","НАЗАРОВ А. Г., фракция ""ЕДИНАЯ РОССИЯ"". Уважаемый Борис Вячеславович, по 32-му пункту сегодняшней повестки, о проекте федерального закона ""О внесении изменения в статью 29 Гражданского процессуального кодекса Российской Федерации"", от комитета с содокладом вместо Крашенинникова Павла Владимировича будет выступать Гальцова Ольга Дмитриевна. Спасибо."
2012-01-13,"Апарина Алевтина Викторовна","О проекте федерального закона № 634972-5 ""О присоединении Российской Федерации к Конвенции по борьбе с подкупом иностранных должностных лиц при осуществлении международных коммерческих сделок"".","Рассмотрение законопроекта в первом чтении","VI Convocation","KPRF","АПАРИНА А. В. Спасибо. Владимир Николаевич, я хочу вам задать вопросы в продолжение звучавших здесь вопросов и ответов. А вот если уличили в получении взятки... ну то, что нашего российского гражданина привлекут к ответственности, это понятно, а если взятку получает иностранец, гражданин того государства, которое не входит в эту вот конвенцию (тридцать восемь входят, а остальные нет), та страна будет принимать меры или нет? Это первый вопрос. И следующее. В связи с такой актуальностью этого больного вопроса нет ли необходимости внести от нашего имени какие-то международные правовые документы, инициативы, чтобы усилить эту работу? И каков срок давности в связи с принятием этого закона об ответственности за нарушение этой конвенции?"
2012-01-25,"Иванов Николай Николаевич","О проекте федерального закона № 563311-5 ""О внесении изменения в статью 27.13 Кодекса Российской Федерации об административных правонарушениях"" (об отмене запрета на эксплуатацию транспортных средств с тонированными стёклами, светопропускание которых не соответствует требованиям технического регламента о безопасности колёсных транспортных средств).","Рассмотрение законопроекта в первом чтении","VI Convocation","KPRF","ИВАНОВ Н. Н. Вопрос Сергею Владимировичу, моему однофамильцу и земляку. Уважаемый Сергей Владимирович, вы предлагаете, конечно, популярный для водителей законопроект, однако это создаст коллизию, и эта коллизия заключается в следующем. Административные правонарушения - это лишь одна часть, но вы забыли о техосмотре. Техосмотр не пройдёшь, если стёкла затонированные, раз техосмотра нет, значит, не получишь страховку, а без страховки выезжать не имеешь права. Как решить эту коллизию, если ваш законопроект будет принят?"
2012-02-10,"Пушков Алексей Константинович","О проекте постановления Государственной Думы № 17979-6 ""О заявлении Государственной Думы Федерального Собрания Российской Федерации ""О ситуации в Сирии"".",NA,"VI Convocation","UR","ПУШКОВ А. К. Я согласен с тем, что вы говорите, особенно насчёт нашей обороноспособности. Я не думаю, что мы сейчас будем втягиваться в дискуссию о внешней политике Советского Союза. Как мне представляется, на самом деле голос России звучит не так уж и слабо. Вот та истеричная реакция, которой было встречено решение России - уже второй раз между прочим, - применить право вето в Совете безопасности ООН, показывает, что нас рассчитывали додавить, нас рассчитывали привести к поддержке этой резолюции, и то разочарование, которое звучало в реакции целого ряда столиц, которые инициировали эту последнюю резолюцию по Сирии, было вполне искренним. Я вам должен сказать, что китайская сторона рассматривает вот эту чрезвычайно громкую и истеричную реакцию как раз как подтверждение того, что нам удалось предотвратить легитимность вот той операции по ""продвижению демократии"", которая фактически предлагалась в этой резолюции, и наши китайские коллеги считают, что это был достаточно серьёзный шаг и удар по планам вот этой новой политической операции при поддержке ООН был нанесён достаточно существенный. Сейчас речь идёт о том, чтобы подготовить новую резолюцию - сейчас этим занимается Лига арабских государств, - такую, которая будет приемлема уже для всех членов мирового сообщества. Я не хочу опережать ход событий, возможно, это и не будет осуществлено, но повторяю: мне кажется, что голос России прозвучал достаточно громко, визит членов руководства страны в Сирию был замечен во всём мире. Мне представляется, что Россия достаточно активно и весомо участвует в попытках разрешения ситуации в Сирии."
2012-02-15,"Иванов Сергей Владимирович","О проекте порядка работы Государственной Думы на 15 февраля 2012 года.",NA,"VI Convocation","LDPR","ИВАНОВ С. В. Спасибо, Сергей Евгеньевич. Я задал простой вопрос, и я не понимаю, что так возмущает депутата Тимченко. Депутат Иванов чужие кнопки не нажимает в отличие от депутата Тимченко. А моё предложение огласить список депутатов, которые дали доверенность на ваше имя, - оно что, противоречит Регламенту, что ли?"
2012-02-15,"Косачев Константин Иосифович","О проекте федерального закона № 583036-5 ""О ратификации Конвенции между Правительством Российской Федерации и Правительством Республики Чили об избежании двойного налогообложения и предотвращении уклонения от уплаты налогов в отношении налогов на доходы и капитал"".","Рассмотрение законопроекта в первом чтении","VI Convocation","UR","КОСАЧЁВ К. И., фракция ""ЕДИНАЯ РОССИЯ"". Косачёв по карточке Никонова. Уважаемые коллеги, мы сегодня обсуждаем действительно очень важный документ, и это диктует именно ответственное, профессиональное, а не фракционно-спекулятивное отношение к данному документу. В своё время, когда этот протокол подписывался, был огромный резонанс в средствах массовой информации, в бизнес-сообществе, поскольку инвестиционные отношения и, соответственно, налоговые отношения между ""большой Россией"" и ""маленьким Кипром"" (естественно, в кавычках употребляю эти понятия) имеют серьёзнейшее значение для отечественной экономики. Цифры здесь приводились, я не буду их повторять. Понятно, что это в подавляющем большинстве случаев деньги наших же российских компаний, которые в ряде случаев уходят от налогов, сотрудничая на кипрском направлении, и поэтому любые изменения в режиме налогообложения между нашими двумя государствами, очевидно, будут иметь серьёзнейшие последствия для отечественных экономических реалий. Соответственно, в интересах нашего государства и всех нас было бы иметь здесь полную ясность, полную законность, чтобы ликвидировать абсолютно все возможные лазейки для ухода из-под российского налогообложения. Этой цели предлагаемый документ достигает лишь отчасти, я это тоже хотел бы зафиксировать, и понятно, что многие коллеги от оппозиции будут использовать это для того, чтобы ругать документ за половинчатость предлагаемых решений, подозревая в коварных умыслах либо правительство, либо переговорщиков. Но в данном случае мы имеем дело с классическим выбором, и выбор этот был, так сказать, на уровне искусства возможного. Именно российская сторона была максималистски настроенной на очень трудных переговорах с Кипром, и то, чего удалось в конечном итоге достичь в данном протоколе, - на сегодняшний день реальный максимум возможного именно из-за жёсткой позиции кипрской стороны, а не из-за нежелания либо неумения российских переговорщиков, и это ключевое положение для понимания данного документа. Таким образом, у нас нет выбора между идеальным документом и этим документом, безусловно, со всеми его, так сказать, дефицитами. У нас выбор на самом деле между этим документом и никаким, то есть между фиксацией предыдущего, никого не устраивавшего положения и шагом вперёд. А результаты вступления в силу этого протокола всё-таки будут, и они немалые. Прежде всего это касается налогообложения доходов от продажи акций компаний, владеющих недвижимостью, - известная тема, которая сегодня здесь многократно обсуждалась, это изменения в налогообложении доходов от международных перевозок, это изменения в порядке обмена информацией между нашими странами в налоговой сфере, и в конечном... (Микрофон отключён.)"
2012-02-28,"Жириновский Владимир Вольфович","О проекте федерального закона № 1476-6 ""О внесении изменений в отдельные законодательные акты Российской Федерации в связи с освобождением политических партий от сбора подписей избирателей на выборах депутатов Государственной Думы Федерального Собрания Российской Федерации, в органы государственной власти субъектов Российской Федерации и органы местного самоуправления"".","Рассмотрение законопроекта в первом чтении","VI Convocation","LDPR","ЖИРИНОВСКИЙ В. В. Триста тридцать - спасибо, Николай Михайлович Харитонов, вам и всем, кто проголосовал. Кстати, этот ролик сейчас показывают, вы там увидите меня молодого: я выступаю в зале Кремля. А сзади Ельцин (к сожалению, не видно) и Хасбулатов, такие смурные сидели - они боялись, они же меня не знали: кто такой? То есть была хорошая форма регистрации: депутаты решали, кому быть кандидатом в президенты, четверть проголосовала - кандидат. Мы потом сделали идеальный вариант: сто тысяч подписей для кандидата от зарегистрированной партии и для самовыдвиженца - триста тысяч, в шесть раз меньше, чем два миллиона. Но тоже есть опасность: могут появиться люди, которые, используя статус кандидата в президенты, могут спровоцировать определённые какие-то сложности для нас и внутри, и извне. То есть минусы есть, пускай комитеты работают. Привожу исторический пример: вот мы пошли по пути демократии в 17-м году. Великий классик, по-моему Иван Бунин, или другой писатель, или философ Бердяев, сказал: Русь слиняла за три дня. А ведь у нас был шанс победить Германию: наступление русской армии летом 17-го года - была бы стопроцентная победа и в ноябре мы были бы в Берлине. Вместо этого - февраль, революция, и мы не только не наступаем, а вообще армию демобилизуем. Начался процесс демократии, вроде бы хороший: отречение царя от престола, любые партии - всё можно. Но самое главное - приказ номер 1 по армии: никто никому не подчиняется. Погон нет, офицеров нет - как хорошо!.. Это что такое, вообще?! То есть это опасно - и 91-й год, и 89-й, 90-й, 91-й... Всегда есть минусы, опасности. Когда нас упрекают здесь некоторые товарищи, что, мол, мы боимся конкуренции, я вас уверяю - конкуренции могут бояться левые, потому что у Удальцова жёстче будет позиция и часть левого электората к нему может отойти. Там и Селезнёв появится, и Подберёзкин... ну, не знаю... Горбачёв, то есть будет ещё пять-шесть левых партий, и, конечно, они часть электората заберут, потому что сейчас здесь спокойные депутаты фракции КПРФ, а там пойдут такие, знаете... с жёстким апломбом. И ""СПРАВЕДЛИВУЮ РОССИЮ"" всю могут растащить, потому что там девять партий, все захотят быть во главе своей партии, и чего им подчиняться Миронову? Какой смысл кому-то подчиняться, когда можно самому пойти во главе партии?! А ЛДПР ничего не грозит лишь по одной причине: у нас собственный избиратель. Левых партий полно, у ""СПРАВЕДЛИВОЙ..."" девять чужих партий в кармане, они могут разбежаться - с какой стати им сидеть, как говорится, под мышкой у Миронова? А у нас всё на виду - это те, кто хочет ЛДПР, нет рядом другой аналогичной партии. Пожалуйста - ""Русский марш"", идите за ними. Мы тоже русский вопрос поднимаем, но у нас немножко другой избиратель, поэтому, если появятся ультранационалисты - РНЕ, ""Память"", ""Русский марш"", - они возьмут часть избирателей, которые и сегодня за нас не голосуют. То есть мы ничего этого не боимся. Конечно, идеальный вариант - Швейцария: семьсот лет, четыре-пять партий, на один год выбирают Президента Швейцарской Конфедерации - нам бы это перенять! Реально у нас пять групп сил: две левых партии будет обязательно, две праволиберальных (вот те, что на Болотную выходят, они в одну не сольются), по центру, допустим, какая-то прокремлёвская, и ЛДПР - вот пять партий. Идеальный вариант - пять всего: две левых (левых у нас полно!), центр, ЛДПР, две типа ""ПАРНАС"" (Немцов, Касьянов), и как в Швейцарии на один год мы на заседании парламента избираем президента. Но проблема какая? Мы спокойны будем и за левого, и за президента от ЛДПР, а что нам устроит Немцов, если мы его на год изберём президентом?! То есть швейцарская система не подходит. Вы знаете, наверное, русское понятие ""шапка Мономаха"" откуда идёт? Это тоже означает ""один из пяти"": один из пяти управляет какое-то время, потом другой, третий, четвёртый... Поэтому ""пять"" - хорошее слово. Я думаю, у нас будет пятипартийный парламент, который удовлетворит всех. Но вопрос в том, что если мы оставляем главу государства, то он будет всегда давить парламент: парламент ему будет мешать. Не потому, что плохой президент или слабый парламент, а потому, что это суть России: Россия как глыба стоит, и здесь должен наверху сидеть один, потому что кругом враг! Мы вот здесь с вами сидим, а уже план разработан, как взорвать южный Кавказ, Иран, Армению и Азербайджан, понимаете? Это будет летом этого года, уже всё готово! Сирию они, конечно, поломают - вы видите, сценарий лёгкий: оппозиция, освобождают город, окажется, что нужна диктатура, потому что убивают журналистов, - всё, вводят войска. Это очень красиво - через демократию снова идёт колонизация мира. А виноваты наши с вами и царь, и большевики - взяли жёсткую формулу: монархия или советская власть. Да прикиньтесь вы демократами: ограничиваем монархию и никакой советской власти, то есть пойти по европейскому пути - нет, не захотели, потому что внешний фактор помешал. Помешал внешний фактор - и английской разведке, и немецкой нужно было нас ломать: никто не хотел, чтобы мы подружились с немцами, потому что тогда конец британцам, а с британцами мы не могли дружить - мы конкуренты из-за Средней Азии, из-за Баку. И мы всегда остаёмся без союзников. Поэтому будем работать над законами. Наша задача - чтобы никаких прохоровых не было близко и мироновых. Геннадию Андреевичу, может быть, дать 10 процентов, мне дать большинство, и с Путиным во втором туре 18 марта мы поборемся, правильно? И большинство выиграет. Геннадию Андреевичу я обещаю: пожизненно член Совета Федерации, обязательно! (Шум в зале, смех.) И Миронова, может быть, в Петербург председателем Законодательного Собрания лет на десять... (Микрофон отключён. Шум в зале.)"
